epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,127.655,1.00976,0.46628,0.8857,2.50188,0.0700693,0.00332564,0.00332564
2,240.293,1.12346,0.62272,0.95617,1.17288,0.0399374,0.00652712,0.00652712
3,352.463,1.16949,0.68139,0.95651,0.99874,0.00967359,0.00959661,0.00959661
4,463.77,1.13493,0.69993,0.95718,0.93902,0.009406,0.009406,0.009406
5,576.675,1.08686,0.71308,0.9673,0.86114,0.009208,0.009208,0.009208
6,690.638,1.06735,0.68948,0.95853,0.91056,0.00901,0.00901,0.00901
7,805.041,1.04103,0.71814,0.96696,0.88876,0.008812,0.008812,0.008812
8,918.774,1.05828,0.72421,0.95887,0.85866,0.008614,0.008614,0.008614
9,1032.83,1.01483,0.74882,0.97303,0.80068,0.008416,0.008416,0.008416
10,1145.77,1.00305,0.7232,0.9555,0.86657,0.008218,0.008218,0.008218
11,1258.67,0.95999,0.75725,0.97808,0.72241,0.00802,0.00802,0.00802
12,1372.3,0.96558,0.78152,0.97707,0.67585,0.007822,0.007822,0.007822
13,1486.51,0.92971,0.77579,0.97404,0.68033,0.007624,0.007624,0.007624
14,1599.51,0.91867,0.75893,0.97606,0.70954,0.007426,0.007426,0.007426
15,1711.95,0.93029,0.79501,0.98584,0.61855,0.007228,0.007228,0.007228
16,1825.28,0.88835,0.79737,0.98415,0.61014,0.00703,0.00703,0.00703
17,1938.96,0.87592,0.80445,0.98281,0.60735,0.006832,0.006832,0.006832
18,2052.69,0.85739,0.80479,0.98382,0.57343,0.006634,0.006634,0.006634
19,2166.37,0.84294,0.80984,0.98179,0.56994,0.006436,0.006436,0.006436
20,2280.23,0.82247,0.8085,0.9855,0.5677,0.006238,0.006238,0.006238
21,2394,0.82265,0.82805,0.98449,0.53025,0.00604,0.00604,0.00604
22,2507.56,0.79722,0.81322,0.98247,0.5627,0.005842,0.005842,0.005842
23,2621.78,0.80818,0.82502,0.98247,0.52123,0.005644,0.005644,0.005644
24,2735.69,0.78298,0.84457,0.9882,0.4874,0.005446,0.005446,0.005446
25,2848.88,0.75668,0.83985,0.98651,0.49181,0.005248,0.005248,0.005248
26,2962.29,0.74535,0.83547,0.9882,0.49516,0.00505,0.00505,0.00505
27,3076.13,0.74909,0.84659,0.98685,0.48721,0.004852,0.004852,0.004852
28,3189.45,0.7198,0.85705,0.98719,0.45249,0.004654,0.004654,0.004654
29,3303.28,0.72446,0.85165,0.98887,0.45065,0.004456,0.004456,0.004456
30,3417.14,0.7127,0.84693,0.98887,0.47586,0.004258,0.004258,0.004258
31,3530.5,0.70284,0.85671,0.98955,0.41978,0.00406,0.00406,0.00406
32,3643.57,0.68508,0.86952,0.9909,0.40443,0.003862,0.003862,0.003862
33,3757.88,0.67465,0.86682,0.98854,0.40386,0.003664,0.003664,0.003664
34,3871.64,0.65984,0.86143,0.99326,0.41009,0.003466,0.003466,0.003466
35,3985.1,0.64627,0.87694,0.99292,0.38776,0.003268,0.003268,0.003268
36,4099.07,0.6351,0.87053,0.99359,0.4009,0.00307,0.00307,0.00307
37,4213.07,0.62522,0.87728,0.99292,0.37979,0.002872,0.002872,0.002872
38,4326.14,0.60201,0.88402,0.99427,0.36659,0.002674,0.002674,0.002674
39,4439.5,0.59115,0.88402,0.99258,0.36115,0.002476,0.002476,0.002476
40,4552.98,0.57264,0.88233,0.99292,0.35372,0.002278,0.002278,0.002278
41,4666.42,0.56274,0.88705,0.99258,0.34484,0.00208,0.00208,0.00208
42,4779.76,0.5478,0.89278,0.99461,0.33252,0.001882,0.001882,0.001882
43,4892.49,0.54406,0.89312,0.99359,0.3274,0.001684,0.001684,0.001684
44,5005.87,0.50118,0.89481,0.99427,0.33137,0.001486,0.001486,0.001486
45,5119.98,0.4918,0.89683,0.99359,0.32354,0.001288,0.001288,0.001288
46,5232.71,0.48542,0.90223,0.99427,0.31513,0.00109,0.00109,0.00109
47,5345.82,0.46753,0.89852,0.99359,0.31553,0.000892,0.000892,0.000892
48,5459.28,0.44973,0.90324,0.99461,0.31053,0.000694,0.000694,0.000694
49,5571.58,0.44268,0.90357,0.99461,0.31233,0.000496,0.000496,0.000496
50,5681.65,0.42445,0.89987,0.99562,0.31269,0.000298,0.000298,0.000298
